user_id,user_journey
227784,Course certificate-Career track certificate-Career tracks-Course certificate-Homepage-Pricing-Homepage-Pricing-Sign up-Log in-Checkout
227846,Coupon
228059,Log in-Log in-Sign up-Log in-Log in-Log in-Log in-Log in-Log in-Log in-Courses-Log in-Log in-Log in-Log in-Log in-Log in-Log in-Log in-Log in-Log in-Log in-Log in-Sign up-Log in-Log in-Log in-Log in-Log in-Log in-Log in-Log in-Log in-Checkout-Log in-Coupon-Log in-Checkout
229602,Other-Coupon-Coupon
230961,Other-Homepage-Sign up-Log in-Homepage-Log in-Checkout-Checkout-Checkout-Checkout-Checkout-Checkout-Checkout-Checkout-Checkout-Homepage-Log in-Checkout-Checkout-Homepage-Log in-Checkout-Checkout-Checkout-Checkout-Checkout-Checkout-Checkout-Checkout
233544,Homepage-Log in-Homepage-Log in-Log in-Log in-Log in-Checkout-Checkout-Log in-Log in-Checkout
235712,Log in-Homepage-Career track certificate-Homepage-Pricing-Career tracks-Sign up-Career tracks-Homepage-Pricing-Homepage-Pricing-Pricing-Log in-Homepage-Career tracks-Career tracks-Courses-Career tracks-Courses-Log in-Log in-Log in-Log in-Log in-Homepage-Log in-Checkout
236893,Homepage-Pricing-Log in-Homepage-Pricing-Courses-Pricing-Success stories-Homepage-Pricing-Homepage-Sign up-Log in-Homepage-Pricing-Homepage-Pricing-Log in-Checkout
237247,Homepage-Log in-Checkout
244110,Coupon-Homepage-Career tracks-Sign up-Other-Sign up-Log in-Homepage-Log in-Homepage-Course certificate-Sign up-Course certificate-Log in-Other-Blog-Log in-Checkout
244693,Homepage-Log in-Homepage-Log in-Homepage-Pricing-Log in-Log in-Coupon
247070,Homepage-Pricing-Blog-Other-Log in-Homepage-Course certificate-Career track certificate-Homepage-Log in-Checkout
248835,Homepage-Log in-Other-Homepage-Log in-Coupon-Coupon-Homepage-Pricing-Career tracks-Log in-Homepage-Log in-Coupon
249736,Log in-Other-Sign up-Log in-Courses-Log in-Log in-Homepage-Log in-Courses-Log in-Homepage-Log in-Homepage-Courses-Career track certificate-Upcoming courses-Upcoming courses-Log in-Checkout-Checkout
250430,Coupon
253512,Log in-Log in-Checkout-Checkout-Homepage-Sign up-Log in-Checkout
255892,Pricing-Log in-Pricing-Log in-Courses-Log in-Log in-Homepage-Log in-Homepage-Log in-Checkout
256301,Homepage-Course certificate-Upcoming courses-Course certificate-Upcoming courses-Career tracks-Career track certificate-Courses-Log in-Homepage-Career track certificate-Course certificate-Career tracks-Course certificate-Course certificate-Courses-Sign up-Courses-Sign up-Checkout-Checkout-Checkout-Checkout-Checkout
256312,Coupon-Coupon
258989,Homepage-Resources center-Other-Courses-Sign up-Courses-Resources center-Other-Resources center-Other-Resources center-Other-Resources center-Other-Resources center-Other-Resources center-Other-Other-Resources center-Other-Courses-Sign up-Resources center-Other-Sign up-Checkout-Checkout
260579,Homepage-Career tracks-Pricing-Log in-Sign up-Checkout-Checkout-Coupon
261077,Log in-Resources center-Other-Homepage-Log in
261624,Homepage-Pricing-Career tracks-Sign up-Log in-Coupon-Checkout
262246,Homepage-Log in-Other-Other-Success stories-Resources center-Log in-Log in-Log in-Log in-Log in-Log in-Log in-Log in-Log in-Homepage-Log in-Checkout
262728,Log in-Checkout
262999,Log in-Checkout
263101,Homepage-Log in-Homepage-Resources center-Courses-Career track certificate-Career track certificate-Log in-Homepage-Pricing-Checkout-Pricing-Checkout-Pricing-Checkout-Pricing-Course certificate-Homepage-Pricing-Checkout-Homepage-Log in-Checkout
